date,store_total,FOODS,HOBBIES
2011-01-29,4337,3239,556
2011-01-30,4155,3137,498
2011-01-31,2816,2008,415
2011-02-01,3051,2258,392
2011-02-02,2630,2032,268
2011-02-03,3276,2407,467
2011-02-04,3450,2693,346
2011-02-05,5437,3962,769
2011-02-06,4340,3418,432
2011-02-07,3157,2446,384
2011-02-08,2995,2138,496
2011-02-09,2710,2001,399
2011-02-10,2928,2137,454
2011-02-11,3078,2217,453
2011-02-12,4316,3067,692
2011-02-13,4354,3313,458
2011-02-14,2757,2003,379
2011-02-15,2430,1779,334
2011-02-16,2272,1670,270
2011-02-17,2009,1433,280
2011-02-18,3015,2250,311
2011-02-19,4553,3148,793
2011-02-20,3966,2864,501
2011-02-21,3264,2105,626
2011-02-22,2441,1621,455
2011-02-23,2377,1608,418
2011-02-24,2414,1639,426
2011-02-25,2701,1875,403
2011-02-26,3719,2574,613
2011-02-27,3548,2733,215
2011-02-28,2246,1732,178
2011-03-01,2549,1896,230
2011-03-02,2559,1965,197
2011-03-03,2568,1984,168
2011-03-04,2978,2369,193
2011-03-05,4096,3223,300
2011-03-06,4832,3464,761
2011-03-07,3138,2262,470
2011-03-08,2997,2165,465
2011-03-09,2772,2100,357
2011-03-10,2650,2003,329
2011-03-11,3249,2480,335
2011-03-12,4114,2895,655
2011-03-13,4094,3081,411
2011-03-14,2880,2079,356
2011-03-15,2384,1656,344
2011-03-16,2522,1805,374
2011-03-17,2435,1657,391
2011-03-18,2744,2005,303
2011-03-19,4142,2826,669
2011-03-20,3904,2795,492
2011-03-21,2635,1935,354
2011-03-22,2458,1595,518
2011-03-23,2079,1473,298
2011-03-24,2281,1431,528
2011-03-25,2740,1869,440
2011-03-26,3899,2648,627
2011-03-27,3999,2801,533
2011-03-28,2780,1903,533
2011-03-29,2167,1471,333
2011-03-30,2247,1612,341
2011-03-31,2576,1849,377
2011-04-01,3500,2528,462
2011-04-02,4325,3013,565
2011-04-03,4396,3136,604
2011-04-04,3642,2615,490
2011-04-05,2784,2047,393
2011-04-06,2602,1897,354
2011-04-07,2976,2150,439
2011-04-08,3294,2342,504
2011-04-09,4083,2825,603
2011-04-10,4194,2978,569
2011-04-11,3015,2007,552
2011-04-12,2512,1653,452
2011-04-13,2217,1550,299
2011-04-14,2520,1631,514
2011-04-15,2867,2141,277
2011-04-16,3571,2465,524
2011-04-17,4084,2980,460
2011-04-18,2760,1833,417
2011-04-19,2234,1628,208
2011-04-20,2261,1520,345
2011-04-21,2487,1759,323
2011-04-22,3155,2274,339
2011-04-23,4187,2909,628
2011-04-24,2946,2051,366
2011-04-25,2439,1518,514
2011-04-26,2085,1411,332
2011-04-27,2096,1294,436
2011-04-28,2086,1374,355
2011-04-29,2675,1808,355
2011-04-30,3560,2278,601
2011-05-01,3668,2550,537
2011-05-02,2911,1962,441
2011-05-03,2839,2044,356
2011-05-04,2610,1924,341
2011-05-05,2384,1648,397
2011-05-06,3125,2322,377
2011-05-07,3816,2605,612
2011-05-08,3033,2096,426
2011-05-09,3069,2199,400
2011-05-10,2985,2044,580
2011-05-11,2629,1797,455
2011-05-12,2277,1630,287
2011-05-13,3008,2078,422
2011-05-14,3754,2608,529
2011-05-15,3822,2704,452
2011-05-16,2582,1651,517
2011-05-17,2144,1550,260
2011-05-18,2174,1535,317
2011-05-19,2168,1516,306
2011-05-20,2664,1847,370
2011-05-21,3463,2332,571
2011-05-22,3597,2525,465
2011-05-23,2461,1648,442
2011-05-24,2160,1556,284
2011-05-25,2251,1512,419
2011-05-26,2296,1487,437
2011-05-27,2642,1786,412
2011-05-28,3214,2140,565
2011-05-29,3202,2270,381
2011-05-30,2884,2013,339
2011-05-31,2156,1505,260
2011-06-01,2529,1701,375
2011-06-02,2652,1748,444
2011-06-03,3200,2265,417
2011-06-04,3942,2842,405
2011-06-05,3871,2832,373
2011-06-06,3056,2187,385
2011-06-07,2763,1963,369
2011-06-08,2884,1809,651
2011-06-09,2787,2039,368
2011-06-10,3420,2447,501
2011-06-11,3588,2435,593
2011-06-12,3569,2586,384
2011-06-13,3149,2215,477
2011-06-14,2894,2035,465
2011-06-15,2679,1973,293
2011-06-16,2535,1743,376
2011-06-17,2971,1996,505
2011-06-18,3896,2539,731
2011-06-19,3109,2200,397
2011-06-20,2848,2062,330
2011-06-21,2936,2144,366
2011-06-22,2557,1735,395
2011-06-23,2624,1806,362
2011-06-24,3071,2092,460
2011-06-25,3354,2299,514
2011-06-26,3672,2491,445
2011-06-27,2912,1927,533
2011-06-28,2200,1473,335
2011-06-29,2166,1497,298
2011-06-30,2542,1752,361
2011-07-01,3681,2663,427
2011-07-02,4276,3108,555
2011-07-03,3885,2942,370
2011-07-04,2672,2038,260
2011-07-05,3177,2364,355
2011-07-06,3542,2441,615
2011-07-07,3362,2403,486
2011-07-08,3252,2385,339
2011-07-09,3923,2762,500
2011-07-10,4286,3066,429
2011-07-11,2785,2026,282
2011-07-12,2380,1602,379
2011-07-13,2501,1768,365
2011-07-14,2467,1639,391
2011-07-15,2922,1973,418
2011-07-16,3688,2541,539
2011-07-17,3587,2445,444
2011-07-18,2936,2015,411
2011-07-19,2373,1665,324
2011-07-20,2511,1727,337
2011-07-21,2585,1818,289
2011-07-22,3069,2199,408
2011-07-23,3851,2526,706
2011-07-24,3773,2526,586
2011-07-25,2762,1867,447
2011-07-26,2322,1641,280
2011-07-27,2337,1543,391
2011-07-28,2518,1665,437
2011-07-29,2915,2156,288
2011-07-30,2930,2002,373
2011-07-31,3493,2353,494
2011-08-01,2860,1963,363
2011-08-02,3018,2070,470
2011-08-03,2919,1991,440
2011-08-04,3003,2162,385
2011-08-05,3450,2370,551
2011-08-06,3818,2580,622
2011-08-07,3930,2800,464
2011-08-08,3246,2394,335
2011-08-09,2862,2006,409
2011-08-10,2699,1994,291
2011-08-11,2728,1861,403
2011-08-12,3292,2288,455
2011-08-13,4077,2742,582
2011-08-14,4202,2957,494
2011-08-15,2879,1938,384
2011-08-16,2718,1884,335
2011-08-17,2577,1833,318
2011-08-18,2574,1851,311
2011-08-19,3080,2079,469
2011-08-20,3702,2440,584
2011-08-21,4462,3177,444
2011-08-22,2722,1867,378
2011-08-23,2217,1537,294
2011-08-24,2440,1662,381
2011-08-25,2483,1700,382
2011-08-26,2873,1921,471
2011-08-27,3769,2582,529
2011-08-28,3701,2670,342
2011-08-29,2407,1708,298
2011-08-30,2114,1375,373
2011-08-31,2291,1470,392
2011-09-01,2668,1846,368
2011-09-02,3412,2362,503
2011-09-03,4127,2717,758
2011-09-04,3542,2568,372
2011-09-05,3485,2469,408
2011-09-06,3130,2115,553
2011-09-07,2674,1900,381
2011-09-08,2826,1979,398
2011-09-09,3238,2297,406
2011-09-10,3873,2718,492
2011-09-11,4046,2876,442
2011-09-12,2835,1933,422
2011-09-13,2383,1575,334
2011-09-14,2186,1482,369
2011-09-15,2388,1628,336
2011-09-16,2813,1975,329
2011-09-17,3515,2454,412
2011-09-18,3670,2670,372
2011-09-19,2606,1789,340
2011-09-20,2558,1740,346
2011-09-21,2453,1646,424
2011-09-22,2366,1606,386
2011-09-23,3475,2451,473
2011-09-24,4059,2872,459
2011-09-25,4086,2872,485
2011-09-26,2846,2028,336
2011-09-27,2438,1722,345
2011-09-28,2581,1696,486
2011-09-29,2437,1587,449
2011-09-30,3623,2512,540
2011-10-01,5037,3450,771
2011-10-02,4685,3361,507
2011-10-03,3298,2361,448
2011-10-04,3200,2214,474
2011-10-05,2798,2086,334
2011-10-06,2690,2011,307
2011-10-07,3541,2631,425
2011-10-08,4604,3279,678
2011-10-09,4417,3296,408
2011-10-10,3572,2726,364
2011-10-11,3110,2059,633
2011-10-12,2609,1901,337
2011-10-13,2859,1979,482
2011-10-14,3337,2371,456
2011-10-15,4253,2930,613
2011-10-16,4250,2963,532
2011-10-17,2761,1944,305
2011-10-18,2494,1742,337
2011-10-19,2540,1772,389
2011-10-20,2654,1851,429
2011-10-21,3438,2374,504
2011-10-22,4243,3011,557
2011-10-23,4319,3200,415
2011-10-24,2878,2036,362
2011-10-25,2517,1890,237
2011-10-26,2343,1660,297
2011-10-27,2720,1909,452
2011-10-28,3162,2184,475
2011-10-29,4162,3022,460
2011-10-30,4227,3063,429
2011-10-31,2435,1622,403
2011-11-01,2774,1924,440
2011-11-02,2977,2129,426
2011-11-03,3014,2210,355
2011-11-04,3747,2644,508
2011-11-05,4515,3325,493
2011-11-06,4852,3641,488
2011-11-07,3284,2406,301
2011-11-08,3318,2416,431
2011-11-09,2780,2140,284
2011-11-10,3277,2495,341
2011-11-11,3858,2879,372
2011-11-12,4292,3042,642
2011-11-13,4150,3164,351
2011-11-14,3035,2299,321
2011-11-15,2707,1932,355
2011-11-16,2495,1776,331
2011-11-17,2388,1771,244
2011-11-18,3012,2214,366
2011-11-19,4681,3333,599
2011-11-20,4415,3232,454
2011-11-21,3209,2333,351
2011-11-22,3637,2744,426
2011-11-23,3663,2926,261
2011-11-24,1941,1631,90
2011-11-25,3162,2262,456
2011-11-26,3077,2194,365
2011-11-27,3341,2494,320
2011-11-28,2514,1808,312
2011-11-29,2628,1838,480
2011-11-30,2412,1783,276
2011-12-01,2699,1925,389
2011-12-02,3504,2487,482
2011-12-03,4832,3364,778
2011-12-04,4632,3390,551
2011-12-05,3367,2517,359
2011-12-06,2960,2256,310
2011-12-07,2889,2080,485
2011-12-08,3331,2460,499
2011-12-09,3435,2528,450
2011-12-10,4575,3482,435
2011-12-11,4312,3262,438
2011-12-12,3267,2468,429
2011-12-13,2946,2230,375
2011-12-14,2871,2143,376
2011-12-15,3109,2431,252
2011-12-16,3399,2505,415
2011-12-17,4463,3349,523
2011-12-18,4253,3218,384
2011-12-19,3333,2467,430
2011-12-20,3236,2459,368
2011-12-21,3367,2567,356
2011-12-22,3609,2740,403
2011-12-23,4652,3677,423
2011-12-24,3454,2758,334
2011-12-25,0,0,0
2011-12-26,3335,2360,483
2011-12-27,3111,2230,469
2011-12-28,3097,2228,410
