date,store_total,FOODS,HOBBIES
2016-03-28,3905,2480,535
2016-03-29,3788,2481,498
2016-03-30,3339,2135,465
2016-03-31,4076,2651,536
2016-04-01,4983,3132,743
2016-04-02,5877,3890,603
2016-04-03,6496,4226,790
2016-04-04,4812,3273,463
2016-04-05,4063,2711,545
2016-04-06,3964,2698,427
2016-04-07,3655,2450,394
2016-04-08,4719,3141,582
2016-04-09,6112,4073,571
2016-04-10,5969,4061,547
2016-04-11,4484,2876,620
2016-04-12,3579,2372,391
2016-04-13,3478,2341,415
2016-04-14,3637,2421,429
2016-04-15,3982,2706,401
2016-04-16,5437,3481,722
2016-04-17,5954,4004,655
2016-04-18,4345,2886,542
2016-04-19,3793,2488,495
2016-04-20,3722,2490,363
2016-04-21,3709,2533,410
2016-04-22,4387,2960,527
2016-04-23,5577,3655,670
2016-04-24,6113,4053,714
